,countrykey,year,countryname,agriculture,elec,slums,tax,mobile,internet,agriculture_gdp,services_gdp,gdp,gdp_growth,gdppc,urban,oil,natural,literacy,prim_compl,enrl_gross,enrl_net,edu_expenses,mortality_child,mortality_neo,hospitalbeds,tub,health_gdp,inc_b10,unempl,lifeexp,life_pol,life_rel,qual_ind,qual_manners,qual_tol,qual_faith,qual_obd,trust,order_freedom,dem_order,traditional_rational,surv_self,wvs_wave,polity,un_region_name,un_continent_name,democracy,id
151,VEN,1996,"Venezuela, RB",24.524687,98.205612,NA,NA,2.5682004,0.24826058,4.2261751,43.629094,6.83E+10,-0.19783726,3013.8418,86.60500336,18.184784,19.022314,NA,80.33007,98.694077,NA,NA,NA,13.3,1.47,NA,NA,NA,11.77,71.176,3.1171019,1.5914787,0.23166667,NA,0.57333333,0.43,0.5,1.862543,1.5232143,2.278503,0.42624918,0.64143849,3,8,South America,Americas,1,176
152,VEN,2000,"Venezuela, RB",24.528088,98.485687,NA,NA,22.243941,3.3595975,3.9329857,43.081849,1.17E+11,3.6869442,4783.5306,87.98000336,17.73548,18.388015,NA,81.921204,99.293121,87.485771,NA,3.7,12,NA,33,4.3963211,NA,13.23,72.281,2.8971572,1.5396825,0.44583333,NA,0.79583333,0.44666667,0.51416667,1.8407376,NA,2.7984694,0.43641446,0.69207058,4,7,South America,Americas,1,176
153,VNM,2001,Vietnam,30.48314,87.361885,NA,18.718873,1.5420215,1.2656512,23.241048,38.629531,3.27E+10,6.1928933,402.82513,24.93700027,5.4367962,7.0887705,NA,104.43159,105.80821,96.067383,NA,NA,14.6,2.4000001,192,5.1971985,NA,2.76,73.487,1.8484536,2.7417355,0.564,NA,0.679,0.082,0.563,1.5887354,NA,2.7909887,0.39566895,0.61030986,4,-7,South-Eastern Asia,Asia,0,177
154,VNM,2006,Vietnam,32.502338,96,NA,22.187713,22.201733,17.254562,18.726785,42.688484,6.64E+10,6.9779548,779.97489,27.88800049,8.061448,10.626719,NA,96.778519,97.457588,91.75573,NA,NA,12.8,2.66,172,5.2788403,2.9,2.4489999,74.438,2.0952707,2.797023,0.59331104,NA,0.50367893,0.06086957,0.31973244,1.4787671,NA,NA,0.33672109,0.44363857,5,-7,South-Eastern Asia,Asia,0,177
155,ZAF,1982,South Africa,77.515271,NA,NA,19.857198,0,NA,5.2599439,46.533886,8.27E+10,-0.38339077,2639.5218,48.75600052,0,11.144519,NA,NA,77.855133,NA,NA,NA,24.3,NA,NA,NA,NA,NA,58.287,NA,NA,0.20488722,NA,0.50689223,0.35213033,0.36152882,1.7096999,NA,NA,0.76533685,0.61440474,1,4,Southern Africa,Africa,0,181
156,ZAF,1990,South Africa,78.807013,59.33794,46.2,23.111941,0.01512226,0,4.207097,50.467102,1.16E+11,-0.31778568,3076.4554,52.03699875,0,5.7790052,NA,NA,103.2542,NA,NA,10.5,19.8,NA,NA,NA,NA,NA,62.062,2.3469545,1.5397536,0.20065789,NA,0.58552632,0.50840643,0.38559942,1.7085582,NA,NA,0.61569085,0.67188827,2,5,Southern Africa,Africa,0,181
157,ZAF,1996,South Africa,80.694755,57.6,NA,23.2065,2.2215219,0.84188293,3.8600024,57.059994,1.48E+11,4.3067279,3440.8642,54.96699905,0,4.0174722,82.4021,NA,NA,NA,NA,NA,17.3,NA,NA,NA,1,21,60.49,2.6381186,1.4058219,0.31993186,NA,0.67938671,0.63543441,0.49914821,1.8414763,1.2841108,2.664557,0.48469559,0.6522871,3,9,Southern Africa,Africa,0,181
158,ZAF,2001,South Africa,80.796149,70.2,NA,24.185581,23.25536,6.3466193,3.2163832,58.458893,1.22E+11,2.7354953,2621.5544,57.36800003,0.04598399,4.4673922,NA,NA,103.53207,92.245193,NA,NA,14.9,NA,666,7.4510867,NA,25.370001,55.273,2.8005427,1.3820975,0.58366667,NA,0.73566667,0.65466667,0.554,1.8690798,NA,2.6126374,0.53031393,0.66143718,4,9,Southern Africa,Africa,0,181
159,ZAF,2006,South Africa,79.868765,80.7,NA,27.269871,80.345054,7.6071397,2.3314124,60.713227,2.72E+11,5.6036648,5506.1965,60.07699966,0.07998775,5.6434531,NA,NA,101.80432,NA,96.500038,NA,13.6,NA,963,6.5870623,NA,22.620001,52.614,2.5522034,1.4074572,0.5957162,NA,0.77342704,0.55153949,0.46251673,NA,NA,NA,NA,NA,5,9,Southern Africa,Africa,0,181
160,ZMB,2007,Zambia,30.917822,18.5,57.3,13.867105,20.73732,4.87,12.105596,47.45468,1.41E+10,8.3524362,1104.588,37.45199966,0,22.067717,61.428291,85.188713,111.73825,89.595772,NA,NA,28.6,NA,554,4.7917818,NA,9.1789999,52.313,2.422545,1.2952837,0.54733333,NA,0.57866667,0.60933333,0.678,1.8845331,NA,NA,0.68355497,0.47315574,5,5,Eastern Africa,Africa,0,182
161,ZWE,2001,Zimbabwe,39.395114,33.830868,NA,NA,2.5392027,0.79984605,15.627071,74.666122,6.78E+09,1.4396151,548.05873,34.16999817,0,3.7793252,NA,92.612411,105.66101,89.045052,NA,NA,26.9,NA,617,NA,NA,5.369,44.326,2.7206646,1.3196803,0.27245509,NA,0.76746507,0.73652695,0.66966068,1.8882114,NA,2.7694175,0.5406916,0.46065918,4,-4,Eastern Africa,Africa,0,183
